id,buzzword,car,city,creditcard,app_version,country,lat,lon,title
182,6th generation,Lincoln,Jāmpur,jcb,5.95,Pakistan,29.5945152,70.6008375,Structural Analysis Engineer
183,Multi-lateral,Subaru,Öldziyt,jcb,2.1.1,Mongolia,48.1030253,102.5606182,Senior Editor
184,analyzing,Lexus,Jiaoba,visa,0.56,China,28.801077,108.102703,Legal Assistant
185,foreground,Plymouth,Paccho,jcb,0.2.6,Peru,-10.9564306,-76.933337,Sales Associate
186,User-friendly,GMC,Ikaalinen,jcb,5.2.7,Finland,61.7644425,23.0729829,Physical Therapy Assistant
187,Phased,Isuzu,Mogzon,americanexpress,0.8.7,Russia,51.7419091,111.9603596,VP Marketing
188,concept,Buick,Beicheng,jcb,9.63,China,39.224791,117.135488,Software Consultant
189,Virtual,Hyundai,Daba,jcb,0.64,China,32.165,108.8822222,Executive Secretary
190,responsive,Chevrolet,Moshkovo,jcb,0.8.4,Russia,55.3040194,83.6056675,Automation Specialist I
191,circuit,Audi,Jiepai,mastercard,0.29,China,30.911728,119.552359,Environmental Tech
192,didactic,Chevrolet,Mataguži,jcb,7.4,Montenegro,42.3248168,19.2801794,Clinical Specialist
193,attitude-oriented,Mitsubishi,Kuruman,mastercard,8.90,South Africa,-33.9905526,18.666796,VP Accounting
194,dynamic,Lexus,Ylöjärvi,visa-electron,6.30,Finland,61.549558,23.5960975,Nuclear Power Engineer
195,alliance,Dodge,Yanglinshi,mastercard,8.92,China,29.978663,111.782745,Business Systems Development Analyst
196,local,Oldsmobile,Kafir Yasif,maestro,8.95,Israel,32.9520318,35.1599957,Sales Representative
197,framework,Chevrolet,Kingston,china-unionpay,0.33,Canada,45.4136084,-66.0783767,General Manager
198,Synergized,Acura,Halamendu,laser,0.85,China,40.991594,110.722523,Food Chemist
199,24 hour,Buick,Marelesu,visa-electron,0.8.2,China,46.5067026,83.6616699,Office Assistant III
200,success,Honda,Kanada,instapayment,5.50,Indonesia,-6.2151565,106.8203259,Nurse
201,Object-based,Ford,Strassen,maestro,9.5,Luxembourg,49.6109539,6.0689379,Health Coach IV
202,national,Pontiac,Três Corações,visa,2.42,Brazil,-21.692578,-45.2515461,Analyst Programmer
203,Seamless,Chevrolet,Staryy Togul,maestro,0.13,Russia,53.4291,85.9006,Nurse Practicioner
204,Fully-configurable,Hyundai,Manta,mastercard,0.45,Ecuador,-0.9676533,-80.7089101,Legal Assistant
205,Triple-buffered,Maybach,Kineshma,laser,3.8,Russia,57.4388568,42.1747981,Programmer Analyst III
206,Up-sized,Ford,Uglyanets,jcb,9.2,Russia,51.820919,39.591263,Account Coordinator
207,national,Hyundai,La Ceja,jcb,0.53,Colombia,6.027632,-75.431596,Programmer III
208,Decentralized,Volkswagen,Saint-Grégoire,jcb,2.7,France,48.1504081,-1.6807958,Administrative Assistant II
209,Multi-channelled,Toyota,Potlot,diners-club-enroute,1.11,Indonesia,-6.254778,106.842169,Office Assistant I
210,Phased,Pontiac,Banjar Desa,maestro,8.6,Indonesia,-3.3200228,114.9991464,Mechanical Systems Engineer
211,hierarchy,Nissan,Tabuny,americanexpress,9.3.7,Russia,52.774987,78.808874,Assistant Media Planner
212,conglomeration,Dodge,Hägersten,bankcard,0.6.2,Sweden,59.2954052,17.967939,Technical Writer
213,Persevering,Jeep,Betioky,diners-club-enroute,0.19,Madagascar,-23.7219872,44.3827547,Senior Cost Accountant
214,impactful,Chevrolet,Chumpi,jcb,1.8.8,Peru,-15.10129,-73.754257,Sales Representative
215,even-keeled,Toyota,Kanekomachi,jcb,7.3,Japan,36.4027362,139.0015333,Staff Scientist
216,mission-critical,Ford,São Paulo de Olivença,jcb,2.22,Brazil,-3.6499007,-69.097023,Product Engineer
217,Pre-emptive,Lincoln,Białobrzegi,visa,0.7.6,Poland,50.1063169,22.3570583,Environmental Tech
218,Multi-tiered,Chevrolet,Dahao,jcb,1.58,China,34.563589,105.011894,Safety Technician III
219,interface,Mazda,Nalbandyan,mastercard,7.8,Armenia,40.06165,43.9852874,Registered Nurse
220,Exclusive,Mercury,Eger,diners-club-carte-blanche,0.39,Hungary,47.9523565,20.3586957,Mechanical Systems Engineer
221,disintermediate,Nissan,Kilifarevo,jcb,7.5.3,Bulgaria,42.9856238,25.6162991,Professor
222,projection,Nissan,San Francisco,visa-electron,7.2.8,Bolivia,-16.4962793,-68.1372784,Human Resources Assistant IV
223,frame,Mazda,Thị Trấn Quảng Uyên,jcb,0.2.9,Vietnam,22.6925394,106.4420595,Office Assistant IV
224,Progressive,Cadillac,Abelheira,americanexpress,6.4,Portugal,41.3345374,-8.5340895,Senior Developer
225,archive,Dodge,Duancun,jcb,8.4.6,China,29.134418,115.762844,Human Resources Assistant I
226,methodology,Ford,Chatuchak,jcb,8.3,Thailand,13.8198099,100.5633655,Financial Analyst
227,Cross-platform,Hummer,Jawf al Maqbābah,mastercard,8.3.7,Yemen,13.83783,45.83488,Nuclear Power Engineer
228,budgetary management,Saab,Lanta Timur,diners-club-us-ca,0.7.0,Indonesia,-8.6247652,118.9907046,Chemical Engineer
229,help-desk,Subaru,Santa Rosa,jcb,0.25,Peru,-11.806679,-77.1657716,Budget/Accounting Analyst I
230,Diverse,Porsche,Di Linh,bankcard,0.94,Vietnam,11.5346745,108.0954351,Financial Analyst
231,multi-tasking,Pontiac,Chust Shahri,china-unionpay,5.3.7,Uzbekistan,41.005341,71.236153,Software Test Engineer III
232,dedicated,Hyundai,Kedungdoro,switch,0.47,Indonesia,-7.2635671,112.7345789,Chemical Engineer
233,optimizing,Suzuki,Honglan,mastercard,0.66,China,31.60858,118.983733,Marketing Assistant
234,intranet,Maybach,Bulumulyo,mastercard,0.55,Indonesia,-6.7332152,111.1950767,Senior Quality Engineer
235,hybrid,Chevrolet,Chengtang,laser,8.2.4,China,36.307064,120.39631,Teacher
236,matrix,Buick,Areia Branca,maestro,4.04,Brazil,-10.7884789,-37.3185938,Executive Secretary
237,directional,Mercedes-Benz,Piraí,china-unionpay,0.68,Brazil,-22.602558,-43.9055155,Human Resources Assistant III
238,Switchable,Chevrolet,Lourido,jcb,6.26,Portugal,41.129239,-8.207141,Marketing Manager
239,next generation,Porsche,Rokytne,visa-electron,0.31,Ukraine,51.287518,27.2018656,Civil Engineer
240,Managed,Chrysler,Orléans,jcb,5.79,France,47.3591366,2.8002946,Payment Adjustment Coordinator
241,methodical,Volvo,Clarines,jcb,7.3,Venezuela,9.9399061,-65.1610557,Statistician IV
242,synergy,Dodge,Bodeh,jcb,1.4,Indonesia,-7.0277395,109.4616074,Food Chemist
243,access,Mercedes-Benz,Jinxiang,jcb,0.3.7,China,35.066619,116.311532,Desktop Support Technician
244,Secured,Acura,Kivertsi,jcb,7.8,Ukraine,50.8323221,25.4566978,VP Accounting
245,Reverse-engineered,Jaguar,Yeysk,jcb,2.0.6,Russia,46.711547,38.2755861,Analyst Programmer
246,encryption,Porsche,Imbituba,china-unionpay,3.1.3,Brazil,-28.2446355,-48.6764133,Staff Scientist
247,circuit,Mercury,Ostrožská Nová Ves,visa,0.53,Czech Republic,49.0132543,17.4380293,Operator
248,Profit-focused,GMC,Bosilovo,maestro,0.6.1,Macedonia,41.44056,22.72778,Environmental Tech
249,throughput,Volkswagen,Old Kilcullen,jcb,0.59,Ireland,53.1310185,-6.7449927,Nurse Practicioner
250,frame,Ford,Sandakan,mastercard,0.6.0,Malaysia,5.8833366,118.0357162,Administrative Officer
251,Stand-alone,Toyota,San Rafael,switch,6.2,Philippines,14.5697429,121.0190818,Nurse Practicioner
252,Multi-tiered,Subaru,Quwa,maestro,0.6.1,China,40.6502768,-73.9299499,Senior Cost Accountant
253,software,Volkswagen,Dobřív,jcb,6.89,Czech Republic,49.7144884,13.6861064,Accounting Assistant IV
254,artificial intelligence,MINI,Libao,bankcard,4.94,China,32.556936,120.681655,Media Manager II
255,Re-engineered,Audi,Longsha,jcb,6.24,China,47.317308,123.9575311,Financial Advisor
256,Re-engineered,Toyota,Liufeng,jcb,5.70,China,22.919228,115.652151,VP Marketing
257,Triple-buffered,Infiniti,Woniuhe,americanexpress,6.72,China,48.09967,122.667783,Senior Financial Analyst
258,De-engineered,Dodge,Yushu,americanexpress,0.57,China,32.993106,97.008784,Technical Writer
259,alliance,Mazda,Szeged,jcb,7.0.6,Hungary,46.2646441,20.1120379,Product Engineer
260,well-modulated,Infiniti,Xincun,maestro,0.7.5,China,18.412445,109.971328,Marketing Assistant
261,leverage,Mitsubishi,Meilin,jcb,8.3,China,31.7311971,117.2313179,Web Designer II
262,Extended,Pontiac,Hluboká nad Vltavou,jcb,0.4.0,Czech Republic,49.0522544,14.4342708,Structural Engineer
